cif_id,property
mp-780977,16.145573
mp-1520661,8.490849
mp-849336,9.155406
mp-769495,17.64705
mp-684034,37.836663
mp-1175415,10.127835
mp-641804,20.878654
mp-1228762,19.105557
mp-1195495,12.858131
mp-1209095,7.780434
mp-1199644,9.531489
mp-769545,7.693783
mp-1228928,12.124873
mp-571593,88.927148
mp-1097420,11.815316
mp-769962,5.985545
mp-990083,43.476517
mp-1190627,10.751023
mp-767208,15.386681
mp-1194179,18.741612
mp-1181555,18.069007
mp-1226478,17.378333
mp-1173534,11.273698
mp-556192,20.934721
mvc-9031,8.095281
mp-774950,8.361459
mp-760136,10.126105
mp-1244876,10.910007
mp-1227365,10.629858
mp-1199424,11.304368
mvc-5322,7.031754
mp-1218804,15.358538
mp-1217357,6.522225
mp-558164,12.038518
mp-849732,8.556363
mp-772615,9.986587
mp-1198931,11.341057
mp-20712,6.086597
mp-1180707,11.167833
mp-1177773,5.952819
mp-1217836,13.005312
mp-705889,10.514298
mp-1208585,8.687002
mp-555165,10.344434
mp-756163,10.008279
mp-1221189,11.56149
mp-1198818,14.868768
mp-1232162,13.523578
mp-667421,26.702808
mp-706627,9.287835
mp-767707,10.416088
mp-707746,10.137416
mp-1235708,5.650854
mp-1173211,12.741751
mp-1217039,8.194519
mp-1018098,8.342264
mp-768476,13.515376
mp-1174576,8.719637
mvc-8229,10.336781
mp-1519803,7.442576
mvc-1302,9.489926
mp-695648,10.146194
mp-1236303,12.298718
mp-1175599,10.082795
mp-1284324,6.875269
mp-758541,14.531101
mp-743270,14.192571
mp-754429,10.842749
mp-1223487,11.921996
mp-1201093,19.290697
mp-996940,5.575193
mp-780655,9.193245
mp-1203859,18.554535
mp-1101700,11.111331
mp-764581,15.017722
mp-684710,8.703386
mp-777233,10.298585
mp-9718,9.655141
mp-753796,10.903492
mp-1246363,14.523331
mp-541291,8.878763
mp-776390,9.710423
mp-1199822,14.801626
mp-38008,7.58455
mp-1255465,6.902459
mp-779758,9.542313
mp-1218562,8.833565
mp-540530,7.604949
mvc-2286,6.764781
mp-1219664,12.360741
mp-775018,9.999167
mp-775628,11.249912
mp-559188,7.559039
mp-673645,13.081477
mp-779360,9.982176
mp-31081,6.651899
mp-1193610,8.970527
mp-1078000,6.52309
mp-1272557,9.844318
mp-1209033,15.888583
mp-775820,8.231747
mp-1221809,8.786856
mp-1203087,22.575595
mp-1173874,17.436119
mp-9270,6.111689
mp-754854,7.701006
mp-1232156,11.935393
mp-1205610,8.300633
mp-540894,11.866125
mp-850986,10.457168
mvc-5221,17.080397
mp-555418,11.699112
mp-1222447,12.477117
mp-1104298,7.158362
mp-505682,22.209452
mp-754853,8.016908
mp-989641,7.408526
mp-625762,9.550029
mp-31491,5.942586
mp-779885,9.712029
mp-680191,15.237695
mp-16785,11.307383
mp-1244883,11.13548
mp-613733,7.843274
mp-1227792,9.153596
mp-1040455,6.374028
mp-755048,5.167328
mp-754167,9.234516
mp-1208508,12.614436
mp-1245656,9.092202
mp-753064,10.41042
mp-1197612,11.935287
mp-755310,9.041996
mp-555718,4.745536
mp-32533,8.696957
mp-1639651,10.804139
mp-22447,10.858663
mp-758589,14.00008
mp-38807,10.674913
mp-1177205,14.077676
mp-762852,12.785993
mp-774400,10.322117
mp-1218139,6.918902
mp-1299412,6.110426
mp-1239202,12.058258
mp-675943,7.004068
mp-754653,8.048825
mp-1114387,6.623465
mp-1247593,15.441944
mp-850257,9.433609
mp-18974,7.407405
mp-753655,7.926432
mp-667314,12.902936
mp-1209270,13.392827
mp-1221141,15.216264
mp-779895,12.499056
mp-1224176,12.901448
mp-1192541,11.950827
mvc-16626,6.896004
mp-1174928,7.652046
mp-24574,16.430426
mp-755471,7.575313
mp-1174776,17.257159
mp-769005,14.303654
mp-1192381,8.087353
mp-558951,16.165599
mp-760697,7.576687
mp-1106263,10.819536
mp-1093970,11.743011
mp-721013,9.485606
mp-1227926,16.458527
mp-772032,15.28727
mp-752937,10.144474
mp-777568,12.53307
mp-1258369,14.498878
mp-752706,9.743398
mp-1229050,14.882583
mp-1213942,11.573623
mp-1246058,8.501928
mp-1203040,15.76275
mp-1143,5.177955
mp-10212,7.677306
mp-1223736,9.779078
mp-1182529,7.295357
mp-1196792,9.599622
mp-26574,13.369232
mp-1175676,9.885653
mp-1197679,11.712271
mp-772462,12.397977
mp-764905,8.79297
mp-756959,5.827269
mp-744710,9.918676
mp-1173895,9.914193
mp-2837,5.040698
mp-982366,8.318077
mp-1206413,4.131506
mp-1273627,5.436853
mp-541761,8.747543
mp-471,6.240817
mp-760315,9.845183
mp-1105635,8.204389
mp-1213607,17.024109
mp-556822,13.720076
mp-759068,6.821238
mp-677097,15.125709
mp-11883,8.45304
mvc-5923,5.630924
mp-1244517,12.481509
mp-778889,10.697753
mvc-10609,10.470211
mp-1038237,8.529538
mp-23959,6.440589
mp-13985,9.255822
mp-776481,10.517446
mp-504975,10.465806
mp-6745,6.532376
mp-1209871,9.221798
mp-772744,12.892057
mp-761102,13.310209
mp-1223478,9.639029
mp-555195,8.799832
mp-680781,9.554304
mp-1179238,16.660222
mp-698762,39.704339
mp-1200193,11.848086
mvc-8632,8.973745
mp-28359,17.610949
mp-1209538,8.661566
mp-755527,5.721448
mp-1220924,7.753542
mp-1100462,9.250103
mp-777154,38.676948
mp-1205063,8.753561
mp-16913,10.197549
mp-1183146,4.51882
mp-768580,8.863668
mp-768876,10.535364
mp-1094313,10.315992
mp-781596,9.865197
mp-11982,8.308976
mp-1025028,8.191708
mvc-16087,15.067592
mp-1100989,24.906907
mp-1542758,5.744136
mp-1272804,6.010834
mp-37255,5.669683
mp-6248,9.024191
mp-608594,5.578556
mp-8700,6.329705
mp-1223278,7.090359
mp-1079829,5.216308
mp-1179339,7.205354
mp-1175373,12.101182
mp-558356,7.382605
mp-863678,6.843407
mp-1303680,9.968761
mp-1223346,10.529272
mp-1227863,9.575334
mp-772809,10.620405
mp-565234,17.057069
mp-1225663,5.701157
mp-756664,8.204354
mp-766384,8.83214
mp-607004,8.687601
mp-756776,7.657
mp-1101221,7.437937
mp-1198780,18.213421
mp-552260,7.83375
mp-532085,24.523242
mp-1093727,11.200766
mp-1195529,9.632906
mp-3822,8.511269
mp-567451,13.394377
mp-1274975,9.237253
mp-531566,14.800108
mp-756020,11.178764
mp-31677,19.132646
mp-625151,6.789899
mp-1661989,9.601981
mp-1238861,11.512156
mp-557285,18.622402
mp-1211923,13.412244
mp-1192583,9.236816
mvc-586,6.253163
mp-863429,11.018719
mp-849606,16.933259
mp-619791,12.027642
mp-1520703,8.540374
mp-758593,8.647638
mp-977012,6.128179
mp-1224431,13.266922
mp-1247452,10.843641
mp-1245316,13.547285
mp-1076637,17.089059
mp-1182623,17.963426
mp-1040107,8.555439
mp-760365,6.878855
mp-1228326,26.122408
mp-541859,10.750326
mp-1306461,5.004145
mp-1641018,11.530358
mp-1199870,9.44404
mp-540548,8.507412
mp-776599,8.97482
mp-1193501,8.297052
mp-1226085,7.314233
mp-1290445,6.738769
mp-582540,12.723781
mp-1222360,7.455259
mp-1068827,5.723712
mp-755479,6.860986
mp-1203200,24.766911
mp-1100687,19.380862
mvc-6606,15.154956
mp-1075570,15.697309
mp-755247,8.889405
mp-1219321,12.864168
mp-753743,9.771794
mp-1200554,17.655172
mp-1096590,13.256856
mp-1075397,7.570224
mp-551131,6.95959
mvc-6915,6.121226
mp-1220333,12.796112
mp-763784,5.30591
mp-768409,7.723401
mp-676144,4.972707
mp-6855,8.650074
mp-722272,9.869404
mp-1100512,15.721486
mp-760979,12.149542
mp-1220492,7.973511
mp-1244731,7.82058
mp-31251,18.301423
mvc-9332,8.172872
mvc-11104,6.660354
mp-1209071,6.829663
mp-1303200,5.358568
mp-1077954,5.684303
mp-1212735,12.019988
mp-1100549,10.132929
mp-777482,19.537133
mp-582663,15.034637
mp-761203,10.616351
mp-763256,6.349337
mp-1039694,8.727317
mp-757247,10.13981
mp-1178000,8.419227
mp-603257,7.966173
mp-753827,6.011808
mp-1213199,8.719547
mp-973908,3.857673
mp-764348,10.344264
mp-556661,6.72715
mp-1571909,6.9181
mp-1220452,5.618666
mvc-10050,14.456041
mvc-2379,10.051833
mp-570728,8.905997
mp-13532,5.519637
mp-1213474,13.882596
mvc-15486,6.520197
mp-1194529,13.06542
mp-1213600,15.006901
mp-25976,6.83748
mp-1212748,8.600408
mp-774346,8.636146
mp-23621,13.305968
mp-560244,8.136023
mp-674953,7.382361
mp-1196744,12.444178
mp-1190577,6.850904
mp-759862,12.037257
mp-1193370,13.187726
mp-1522086,5.67962
mp-1197816,21.64387
mp-1227183,9.618951
mp-1174860,9.803761
mp-979261,4.915345
mp-1222577,7.741772
mp-1174867,14.409731
mp-607525,17.215194
mp-760180,13.001374
mp-1219313,10.272049
mp-1246347,12.411963
mp-1228739,19.327105
mp-1289936,5.547935
mp-1216175,11.383085
mp-1215966,10.174315
mp-7342,9.705917
mp-780123,9.194973
mp-684968,8.922398
mp-1213939,7.627369
mp-530245,17.345339
mp-756335,8.010087
mp-559745,11.157394
mp-676330,13.298398
mp-1080173,10.540212
mp-1221151,7.767069
mp-686718,12.502769
mvc-888,8.820717
mp-1174850,11.649045
mp-1208688,8.921881
mp-8048,6.980822
mp-1204871,9.329857
mp-581693,18.248549
mp-768541,12.266915
mp-28837,12.735324
mp-989195,7.95613
mp-3626,8.336999
mp-754343,6.604073
mp-23986,9.00595
mp-559795,11.442727
mp-707891,9.812289
mp-703393,10.488432
mp-1293112,7.737648
mp-11307,5.34563
mp-758432,11.280384
mp-758583,13.212598
mp-13979,13.66033
mp-1182822,6.161175
mp-646337,15.000736
mp-557863,24.140786
mp-1181551,34.328884
mp-569991,11.254978
mp-1228607,8.751481
mp-758960,9.969506
mp-771256,12.353554
mp-31746,10.151174
mp-1213903,12.656201
mp-1214529,7.541521
mp-862718,8.851586
mp-557918,8.354086
mp-1198837,12.344493
mp-1222102,6.752155
mp-1094086,15.804292
mp-754209,5.900234
mp-505246,8.550536
mp-767701,8.625698
mp-760165,12.172359
mp-1226276,7.337475
mp-775973,7.549059
mp-1037312,8.7263
mp-1197781,22.110531
mp-541044,13.753315
mp-752792,6.638926
mp-675545,7.990824
mp-569246,7.067363
mp-1174606,7.68446
mp-568621,8.655203
mp-1192770,10.948857
mp-30656,6.811728
mp-771317,31.791157
mp-758493,12.457604
mp-1311658,10.471157
mp-777643,13.269164
mp-1077263,17.290654
mp-777741,15.387004
mp-19976,14.782813
mp-759681,12.471923
mp-14999,11.572035
mp-766483,15.449439
mp-1195311,10.170833
mp-849411,14.204003
mp-768548,8.871901
mp-1100939,26.032929
mp-1176881,13.932331
mvc-5779,5.630168
mp-758094,9.435761
mp-850892,12.319739
mp-556985,7.150156
mp-1182066,10.939573
mp-13346,10.548776
mvc-3126,18.765226
mp-556276,12.58086
mp-767363,5.883943
mp-24108,12.400272
mp-758139,11.884437
mp-866481,9.199762
mp-1180812,10.543568
mp-756153,7.701026
mp-1200225,13.490261
mp-644418,6.554273
mp-531917,18.912556
mp-1279360,5.243122
mp-778844,20.804106
mp-40502,7.482131
mp-28391,10.486663
mp-1179513,14.262278
mp-1218724,11.033033
mp-1288479,5.492582
mp-1227233,15.914973
mp-1073304,9.77754
mp-1517730,5.678986
mp-770101,5.782432
mp-1217197,8.263532
mp-764043,9.495628
mp-1182792,18.953865
mp-626299,11.418859
mp-29352,7.3159
mp-29074,16.715773
mp-850875,10.186122
mp-1297798,7.201384
mp-1179984,9.815598
mp-1179966,18.595454
mp-23477,9.85563
mp-771985,9.373979
mp-1195119,21.741421
mp-1174203,5.928783
mp-561165,11.269709
mp-1172893,9.918331
mp-1279062,5.690808
mp-756308,9.829325
mp-1204414,11.792609
mp-756990,8.56978
mp-2204,8.266432
mp-1282740,7.839518
mp-757152,11.329797
mp-1218672,8.720636
mvc-12739,6.750712
mp-1200233,12.714274
mp-770286,8.011148
mp-569776,8.632394
mp-1216969,11.89608
mvc-5367,6.73434
mp-743771,14.172065
mp-1036839,8.596613
mp-754368,5.640642
mp-1199681,18.888509
mp-4344,6.539215
mp-17540,8.872122
mp-760969,14.263585
mp-764701,8.416161
mp-31259,15.530574
mp-1272386,4.845456
