cif_id,property
mp-780977,89
mp-1520661,90
mp-849336,98
mp-769495,91
mp-684034,92
mp-1175415,106
mp-641804,95
mp-1228762,88
mp-1195495,96
mp-1209095,88
mp-1199644,70
mp-769545,89
mp-1228928,90
mp-571593,119
mp-1097420,62
mp-769962,119
mp-990083,90
mp-1190627,106
mp-767208,103
mp-1194179,90
mp-1181555,100
mp-1226478,90
mp-1173534,113
mp-556192,96
mvc-9031,90
mp-774950,89
mp-760136,89
mp-1244876,97
mp-1227365,92
mp-1199424,112
mvc-5322,88
mp-1218804,92
mp-1217357,90
mp-558164,79
mp-849732,90
mp-772615,92
mp-1198931,90
mp-20712,90
mp-1180707,105
mp-1177773,119
mp-1217836,119
mp-705889,90
mp-1208585,77
mp-555165,115
mp-756163,107
mp-1221189,111
mp-1198818,102
mp-1232162,98
mp-667421,101
mp-706627,111
mp-767707,89
mp-707746,83
mp-1235708,110
mp-1173211,89
mp-1217039,89
mp-1018098,75
mp-768476,85
mp-1174576,85
mvc-8229,105
mp-1519803,95
mvc-1302,107
mp-695648,119
mp-1236303,87
mp-1175599,105
mp-1284324,93
mp-758541,90
mp-743270,111
mp-754429,106
mp-1223487,119
mp-1201093,118
mp-996940,62
mp-780655,80
mp-1203859,80
mp-1101700,88
mp-764581,108
mp-684710,77
mp-777233,91
mp-9718,87
mp-753796,119
mp-1246363,88
mp-541291,76
mp-776390,90
mp-1199822,98
mp-38008,119
mp-1255465,86
mp-779758,89
mp-1218562,108
mp-540530,82
mvc-2286,109
mp-1219664,75
mp-775018,89
mp-775628,109
mp-559188,70
mp-673645,96
mp-779360,107
mp-31081,81
mp-1193610,98
mp-1078000,114
mp-1272557,99
mp-1209033,104
mp-775820,109
mp-1221809,90
mp-1203087,119
mp-1173874,85
mp-9270,90
mp-754854,94
mp-1232156,90
mp-1205610,90
mp-540894,90
mp-850986,73
mvc-5221,119
mp-555418,86
mp-1222447,91
mp-1104298,116
mp-505682,90
mp-754853,90
mp-989641,97
mp-625762,91
mp-31491,111
mp-779885,111
mp-680191,94
mp-16785,107
mp-1244883,93
mp-613733,79
mp-1227792,89
mp-1040455,90
mp-755048,109
mp-754167,88
mp-1208508,95
mp-1245656,89
mp-753064,90
mp-1197612,90
mp-755310,89
mp-555718,99
mp-32533,89
mp-1639651,113
mp-22447,90
mp-758589,89
mp-38807,90
mp-1177205,89
mp-762852,89
mp-774400,112
mp-1218139,89
mp-1299412,61
mp-1239202,90
mp-675943,117
mp-754653,89
mp-1114387,60
mp-1247593,90
mp-850257,100
mp-18974,90
mp-753655,81
mp-667314,87
mp-1209270,90
mp-1221141,97
mp-779895,90
mp-1224176,88
mp-1192541,108
mvc-16626,89
mp-1174928,107
mp-24574,90
mp-755471,90
mp-1174776,88
mp-769005,99
mp-1192381,90
mp-558951,92
mp-760697,65
mp-1106263,90
mp-1093970,65
mp-721013,89
mp-1227926,90
mp-772032,100
mp-752937,110
mp-777568,104
mp-1258369,120
mp-752706,116
mp-1229050,82
mp-1213942,90
mp-1246058,89
mp-1203040,94
mp-1143,62
mp-10212,104
mp-1223736,115
mp-1182529,115
mp-1196792,91
mp-26574,91
mp-1175676,88
mp-1197679,104
mp-772462,111
mp-764905,118
mp-756959,118
mp-744710,110
mp-1173895,88
mp-2837,120
mp-982366,90
mp-1206413,90
mp-1273627,119
mp-541761,98
mp-471,81
mp-760315,89
mp-1105635,89
mp-1213607,97
mp-556822,92
mp-759068,81
mp-677097,89
mp-11883,120
mvc-5923,89
mp-1244517,90
mp-778889,73
mvc-10609,99
mp-1038237,90
mp-23959,112
mp-13985,90
mp-776481,83
mp-504975,110
mp-6745,83
mp-1209871,96
mp-772744,119
mp-761102,77
mp-1223478,104
mp-555195,82
mp-680781,109
mp-1179238,92
mp-698762,93
mp-1200193,89
mvc-8632,115
mp-28359,93
mp-1209538,116
mp-755527,114
mp-1220924,90
mp-1100462,89
mp-777154,119
mp-1205063,90
mp-16913,93
mp-1183146,60
mp-768580,89
mp-768876,118
mp-1094313,101
mp-781596,89
mp-11982,90
mp-1025028,105
mvc-16087,117
mp-1100989,117
mp-1542758,119
mp-1272804,118
mp-37255,80
mp-6248,66
mp-608594,88
mp-8700,116
mp-1223278,113
mp-1079829,120
mp-1179339,80
mp-1175373,103
mp-558356,61
mp-863678,107
mp-1303680,119
mp-1223346,110
mp-1227863,89
mp-772809,91
mp-565234,81
mp-1225663,78
mp-756664,90
mp-766384,106
mp-607004,90
mp-756776,109
mp-1101221,92
mp-1198780,90
mp-552260,110
mp-532085,87
mp-1093727,60
mp-1195529,119
mp-3822,90
mp-567451,100
mp-1274975,90
mp-531566,113
mp-756020,95
mp-31677,89
mp-625151,109
mp-1661989,90
mp-1238861,90
mp-557285,100
mp-1211923,117
mp-1192583,103
mvc-586,89
mp-863429,82
mp-849606,88
mp-619791,85
mp-1520703,90
mp-758593,110
mp-977012,90
mp-1224431,119
mp-1247452,100
mp-1245316,89
mp-1076637,109
mp-1182623,89
mp-1040107,90
mp-760365,90
mp-1228326,90
mp-541859,120
mp-1306461,80
mp-1641018,89
mp-1199870,119
mp-540548,98
mp-776599,61
mp-1193501,92
mp-1226085,60
mp-1290445,86
mp-582540,112
mp-1222360,90
mp-1068827,111
mp-755479,108
mp-1203200,94
mp-1100687,96
mvc-6606,101
mp-1075570,89
mp-755247,89
mp-1219321,82
mp-753743,76
mp-1200554,90
mp-1096590,61
mp-1075397,88
mp-551131,91
mvc-6915,119
mp-1220333,82
mp-763784,90
mp-768409,90
mp-676144,95
mp-6855,119
mp-722272,90
mp-1100512,87
mp-760979,90
mp-1220492,118
mp-1244731,90
mp-31251,90
mvc-9332,90
mvc-11104,106
mp-1209071,69
mp-1303200,118
mp-1077954,77
mp-1212735,90
mp-1100549,86
mp-777482,98
mp-582663,111
mp-761203,75
mp-763256,91
mp-1039694,90
mp-757247,102
mp-1178000,90
mp-603257,117
mp-753827,118
mp-1213199,60
mp-973908,90
mp-764348,90
mp-556661,116
mp-1571909,76
mp-1220452,91
mvc-10050,80
mvc-2379,107
mp-570728,112
mp-13532,66
mp-1213474,119
mvc-15486,90
mp-1194529,114
mp-1213600,90
mp-25976,84
mp-1212748,109
mp-774346,61
mp-23621,90
mp-560244,117
mp-674953,119
mp-1196744,118
mp-1190577,104
mp-759862,88
mp-1193370,90
mp-1522086,60
mp-1197816,90
mp-1227183,113
mp-1174860,89
mp-979261,92
mp-1222577,83
mp-1174867,88
mp-607525,89
mp-760180,103
mp-1219313,102
mp-1246347,114
mp-1228739,89
mp-1289936,61
mp-1216175,106
mp-1215966,89
mp-7342,90
mp-780123,109
mp-684968,84
mp-1213939,116
mp-530245,88
mp-756335,89
mp-559745,109
mp-676330,119
mp-1080173,90
mp-1221151,119
mp-686718,90
mvc-888,84
mp-1174850,82
mp-1208688,85
mp-8048,119
mp-1204871,109
mp-581693,87
mp-768541,84
mp-28837,108
mp-989195,90
mp-3626,90
mp-754343,105
mp-23986,88
mp-559795,108
mp-707891,107
mp-703393,90
mp-1293112,104
mp-11307,90
mp-758432,85
mp-758583,93
mp-13979,98
mp-1182822,117
mp-646337,90
