cif_id,property
mp-780977,5.987714
mp-1520661,8.489481
mp-849336,8.868047
mp-769495,6.635436
mp-684034,13.367956
mp-1175415,5.760424
mp-641804,11.888751
mp-1228762,6.940005
mp-1195495,11.214271
mp-1209095,7.558708
mp-1199644,8.962029
mp-769545,7.673894
mp-1228928,9.569329
mp-571593,4.337548
mp-1097420,11.815316
mp-769962,5.980927
mp-990083,13.020965
mp-1190627,6.200765
mp-767208,8.791099
mp-1194179,7.219972
mp-1181555,7.23847
mp-1226478,4.263817
mp-1173534,9.776808
mp-556192,7.813745
mvc-9031,5.687762
mp-774950,8.316025
mp-760136,6.346557
mp-1244876,10.478226
mp-1227365,10.61074
mp-1199424,8.871625
mvc-5322,6.536066
mp-1218804,12.850772
mp-1217357,6.522225
mp-558164,11.482002
mp-849732,5.237057
mp-772615,8.640531
mp-1198931,11.341057
mp-20712,4.654702
mp-1180707,9.258266
mp-1177773,5.874482
mp-1217836,4.704319
mp-705889,10.509579
mp-1208585,6.62906
mp-555165,9.060408
mp-756163,7.633744
mp-1221189,10.163188
mp-1198818,7.527975
mp-1232162,8.273037
mp-667421,14.591211
mp-706627,6.950751
mp-767707,6.956966
mp-707746,9.904548
mp-1235708,5.270288
mp-1173211,7.704378
mp-1217039,6.675291
mp-1018098,4.195846
mp-768476,12.965376
mp-1174576,5.153566
mvc-8229,8.410686
mp-1519803,5.667351
mvc-1302,8.831869
mp-695648,10.126931
mp-1236303,4.349586
mp-1175599,5.822532
mp-1284324,6.698914
mp-758541,8.450252
mp-743270,12.138771
mp-754429,5.687867
mp-1223487,11.63032
mp-1201093,8.955107
mp-996940,5.1044
mp-780655,8.292558
mp-1203859,7.348267
mp-1101700,11.072388
mp-764581,7.411813
mp-684710,7.768952
mp-777233,8.183185
mp-9718,6.914704
mp-753796,5.659047
mp-1246363,6.05549
mp-541291,8.878763
mp-776390,5.942156
mp-1199822,13.220843
mp-38008,7.58455
mp-1255465,6.902459
mp-779758,5.811642
mp-1218562,6.841626
mp-540530,7.16646
mvc-2286,6.722545
mp-1219664,6.251167
mp-775018,6.029817
mp-775628,11.245456
mp-559188,7.020242
mp-673645,6.514044
mp-779360,6.224607
mp-31081,6.651899
mp-1193610,8.970527
mp-1078000,5.714287
mp-1272557,7.673181
mp-1209033,8.285843
mp-775820,8.228502
mp-1221809,8.705352
mp-1203087,7.663193
mp-1173874,9.145578
mp-9270,6.111584
mp-754854,5.512014
mp-1232156,8.166127
mp-1205610,7.008972
mp-540894,8.662091
mp-850986,6.033121
mvc-5221,6.398158
mp-555418,9.160385
mp-1222447,9.809899
mp-1104298,5.44929
mp-505682,11.541666
mp-754853,5.768229
mp-989641,4.766719
mp-625762,8.857969
mp-31491,4.323796
mp-779885,8.31111
mp-680191,14.022942
mp-16785,7.421664
mp-1244883,10.994877
mp-613733,7.201108
mp-1227792,7.430563
mp-1040455,6.366646
mp-755048,5.15402
mp-754167,5.709926
mp-1208508,8.850995
mp-1245656,3.775436
mp-753064,5.220789
mp-1197612,7.05117
mp-755310,4.738635
mp-555718,4.745536
mp-32533,8.534696
mp-1639651,8.659078
mp-22447,10.858663
mp-758589,9.781899
mp-38807,7.630398
mp-1177205,9.810068
mp-762852,9.989816
mp-774400,8.46594
mp-1218139,3.949383
mp-1299412,6.10755
mp-1239202,11.451964
mp-675943,6.66892
mp-754653,5.780492
mp-1114387,6.623465
mp-1247593,10.953028
mp-850257,9.432967
mp-18974,5.658318
mp-753655,5.085318
mp-667314,9.79767
mp-1209270,8.978707
mp-1221141,4.221754
mp-779895,12.493117
mp-1224176,6.68379
mp-1192541,8.655595
mvc-16626,6.896004
