cif_id,property
mp-780977,5.250804
mp-1520661,8.480238
mp-849336,8.250675
mp-769495,5.198584
mp-684034,13.367956
mp-1175415,4.988479
mp-641804,4.148642
mp-1228762,5.272566
mp-1195495,7.849895
mp-1209095,7.558708
mp-1199644,7.361154
mp-769545,6.485205
mp-1228928,8.638915
mp-571593,4.337548
mp-1097420,10.876822
mp-769962,5.980927
mp-990083,3.162981
mp-1190627,5.29086
mp-767208,8.776095
mp-1194179,4.562448
mp-1181555,5.199733
mp-1226478,2.917886
mp-1173534,7.921305
mp-556192,5.071034
mvc-9031,5.423629
mp-774950,8.304491
mp-760136,5.094053
mp-1244876,10.120066
mp-1227365,3.51971
mp-1199424,6.977263
mvc-5322,6.473332
mp-1218804,4.400585
mp-1217357,6.522225
mp-558164,11.482002
mp-849732,4.906855
mp-772615,6.675532
mp-1198931,8.570303
mp-20712,4.129418
mp-1180707,4.934814
mp-1177773,5.874482
mp-1217836,4.681902
mp-705889,10.506859
mp-1208585,6.62906
mp-555165,9.060408
mp-756163,3.797726
mp-1221189,7.274911
mp-1198818,7.337633
mp-1232162,7.134939
mp-667421,5.993651
mp-706627,5.203652
mp-767707,5.09569
mp-707746,6.57386
mp-1235708,4.625938
mp-1173211,3.844589
mp-1217039,5.872536
mp-1018098,4.195846
mp-768476,7.395472
mp-1174576,5.046819
mvc-8229,7.216975
mp-1519803,5.667351
mvc-1302,6.988713
mp-695648,8.529456
mp-1236303,3.947816
mp-1175599,5.107169
mp-1284324,6.679725
mp-758541,5.673063
mp-743270,10.184094
mp-754429,3.275346
mp-1223487,10.412548
mp-1201093,8.955107
mp-996940,5.1044
mp-780655,7.905202
mp-1203859,6.765505
mp-1101700,5.225526
mp-764581,5.224733
mp-684710,6.725084
mp-777233,5.7367
mp-9718,6.914704
mp-753796,5.615392
mp-1246363,5.844931
mp-541291,6.42522
mp-776390,5.939149
mp-1199822,8.541538
mp-38008,7.583292
mp-1255465,5.293728
mp-779758,5.799806
mp-1218562,5.590014
mp-540530,4.96649
mvc-2286,6.659394
mp-1219664,6.251166
mp-775018,4.984884
mp-775628,11.23141
mp-559188,7.020242
mp-673645,6.442608
mp-779360,4.713994
mp-31081,5.157538
mp-1193610,7.298169
mp-1078000,3.359876
mp-1272557,2.979146
mp-1209033,5.984743
mp-775820,8.201657
mp-1221809,7.438489
mp-1203087,7.656512
mp-1173874,6.718485
mp-9270,6.098477
mp-754854,5.124356
mp-1232156,7.716173
mp-1205610,6.311391
mp-540894,8.446651
mp-850986,5.94425
mvc-5221,6.376968
mp-555418,8.093209
mp-1222447,5.604017
mp-1104298,5.408328
mp-505682,4.066987
mp-754853,5.580804
mp-989641,3.836983
mp-625762,5.156164
mp-31491,4.323796
mp-779885,7.16634
mp-680191,13.115349
mp-16785,7.030383
mp-1244883,10.86934
mp-613733,4.50638
mp-1227792,6.060447
mp-1040455,6.366646
mp-755048,2.974317
mp-754167,5.263254
mp-1208508,8.681707
mp-1245656,3.763015
mp-753064,5.16708
mp-1197612,7.05117
mp-755310,4.738635
mp-555718,4.745536
mp-32533,3.85189
mp-1639651,5.130846
mp-22447,5.380752
mp-758589,9.769112
mp-38807,7.573379
mp-1177205,9.800988
mp-762852,5.389955
mp-774400,8.263576
mp-1218139,3.922845
mp-1299412,6.100065
mp-1239202,3.417611
mp-675943,6.638893
mp-754653,4.802274
mp-1114387,6.623465
mp-1247593,10.866323
mp-850257,7.875514
mp-18974,5.18423
mp-753655,5.021443
mp-667314,8.172024
mp-1209270,7.142516
mp-1221141,4.221754
mp-779895,5.215908
mp-1224176,6.458526
mp-1192541,8.093458
mvc-16626,6.847876
mp-1174928,5.074732
mp-24574,6.858705
mp-755471,5.211401
mp-1174776,2.984965
mp-769005,7.687991
mp-1192381,6.258872
mp-558951,6.704868
mp-760697,6.35989
mp-1106263,3.443436
mp-1093970,9.579792
mp-721013,9.162598
mp-1227926,5.348811
mp-772032,8.392349
mp-752937,3.857066
mp-777568,8.702661
mp-1258369,7.485771
mp-752706,6.900925
mp-1229050,4.063068
mp-1213942,5.125823
mp-1246058,6.039988
mp-1203040,7.539496
mp-1143,4.805028
mp-10212,3.84777
mp-1223736,9.24823
mp-1182529,3.731713
mp-1196792,5.463132
mp-26574,7.32085
mp-1175676,5.026348
mp-1197679,5.90313
mp-772462,8.765692
mp-764905,6.497342
mp-756959,5.575444
mp-744710,8.348605
mp-1173895,2.983773
mp-2837,3.940062
mp-982366,6.915079
mp-1206413,4.131506
mp-1273627,5.04053
mp-541761,4.96335
mp-471,4.767746
mp-760315,6.122018
mp-1105635,6.425
mp-1213607,6.388176
mp-556822,5.141894
mp-759068,6.662964
mp-677097,5.146633
mp-11883,5.212478
mvc-5923,5.225617
mp-1244517,5.900647
mp-778889,8.819338
mvc-10609,6.218143
mp-1038237,8.523112
mp-23959,6.405356
mp-13985,4.744661
mp-776481,5.229687
mp-504975,5.254029
mp-6745,5.340046
mp-1209871,6.890291
mp-772744,6.741384
mp-761102,5.967127
mp-1223478,3.69759
mp-555195,8.331569
mp-680781,9.514716
mp-1179238,7.200275
mp-698762,5.281168
mp-1200193,6.713494
mvc-8632,7.409765
mp-28359,6.315835
mp-1209538,6.63357
mp-755527,3.027188
mp-1220924,5.484165
mp-1100462,3.827583
mp-777154,5.079795
mp-1205063,8.753561
mp-16913,5.006535
mp-1183146,4.51882
mp-768580,8.28971
mp-768876,10.394715
mp-1094313,4.1672
mp-781596,5.297029
mp-11982,5.848129
