cif_id,property
mp-1217248,2
mp-1246675,7
mp-4579,4
mp-505037,5
mp-721562,6
mp-1217109,4
mp-2811,2
mp-1218361,5
mp-1205387,5
mp-1114611,1
mp-1222492,6
mp-1077275,6
mp-849412,7
mp-1190688,5
mp-1099237,4
mp-772266,6
mp-768647,7
mp-13568,6
mp-5752,4
mp-768782,7
mp-720199,7
mp-1322154,7
mp-22503,1
mp-867795,1
mp-571589,2
mp-1213135,5
mp-1226665,2
mp-1516967,1
mp-560660,2
mp-1078366,4
mp-570121,6
mp-12075,4
mp-8277,3
mp-18353,2
mp-1019608,5
mp-12920,4
mp-2089,6
mp-753080,5
mp-1038188,4
mp-1244572,5
mp-1221191,4
mp-505496,5
mp-804,2
mp-1232065,5
mp-1195164,6
mp-1182953,6
mp-1247391,5
mp-755069,6
mp-753455,6
mp-1198593,6
mp-23710,4
mp-974326,2
mp-1218204,6
mp-865365,1
mp-1173014,6
mp-14065,5
mp-680152,3
mp-20506,5
mp-1203802,6
mp-1175054,7
mp-27031,6
mp-22595,4
mp-1173060,4
mp-1018662,2
mp-1178384,5
mp-1214260,6
mp-555727,6
mp-1078000,6
mp-774877,7
mp-1226270,7
mp-1202232,6
mp-779359,7
mp-554739,6
mp-770290,6
mp-763194,6
mp-1020628,6
mp-1216878,1
mp-21041,1
mp-540868,6
mp-1097392,5
mp-997590,1
mp-14384,2
mp-554238,5
mp-1096501,5
mp-1194316,6
mp-5690,5
mp-3340,1
mp-557189,6
mp-30039,6
mp-19014,6
mvc-8358,5
mp-1027152,3
mp-1217305,2
mp-1194558,1
mp-1080694,6
mp-866175,1
mp-1179069,5
mp-1276873,5
mp-1216047,3
mp-1219367,2
mvc-853,6
mp-1195324,5
mp-771957,5
mp-6150,3
mp-1208524,6
mp-1198521,6
mp-1215968,2
mp-1220857,4
mp-567414,7
mp-4828,1
mp-770811,7
mp-1199036,5
mp-569265,2
mp-705002,4
mp-1290983,7
mp-1281,4
mp-1204718,7
mp-1093985,5
mp-1196156,6
mp-8635,1
mp-554280,6
mp-570655,6
mp-1224710,5
mp-769802,3
mp-1198602,6
mp-1114577,1
