cif_id,property
mp-1095677,12
mp-1661801,27
mp-1104196,14
mp-1197779,37
mp-1247253,36
mp-1521037,10
mp-22694,56
mvc-8217,88
mp-1652492,22
mp-1227381,16
mp-26721,26
mp-1187553,8
mp-1100542,32
mp-866662,30
mp-770691,40
mp-1074553,28
mp-1195334,92
mp-5864,20
mp-758406,88
mp-5134,12
mp-722684,24
mp-1247624,144
mp-28675,49
mp-1213311,26
mp-1227477,20
mp-1262288,12
mp-1203303,56
mp-1029294,12
mp-1245561,64
mp-1197648,34
mp-1187311,4
mp-25293,25
mp-42089,44
mp-754114,14
mp-753805,44
mp-1214781,20
mp-1244917,100
mp-1516583,10
mp-766923,28
mp-561582,24
mp-698567,39
mp-25812,48
mp-1101971,12
mp-1642125,48
mp-504811,26
mp-770937,26
mvc-9926,20
mp-758762,44
mp-774905,80
mp-763007,18
mp-1105239,20
mp-755686,18
mp-1223305,19
mp-1202099,55
mp-1176450,36
mp-1239305,32
mp-1197536,52
mp-753405,20
mp-1191712,24
mp-780488,72
mp-780860,22
mp-1314858,18
mp-1193781,30
mp-1184068,4
mp-8393,7
mp-753923,14
mp-759538,70
mp-1228561,64
mp-1239207,28
mp-1178445,72
mp-672373,40
mp-1101628,16
mp-1094234,6
mp-1176942,92
mp-771170,56
mp-755351,14
mp-1223115,14
mp-505045,52
mp-771220,12
mp-1522982,20
mp-1227607,52
mp-28864,17
mp-769513,62
mp-34328,7
mp-640747,60
mp-1210785,40
mp-1191127,24
mp-1101655,24
mp-1318211,40
mp-758629,26
mp-1190940,24
mp-754986,24
mp-1201472,32
mvc-3738,28
mp-764940,36
mp-1033557,16
mp-1190083,20
mvc-13165,39
mp-943492,16
mp-1227328,9
mp-754962,9
mp-19210,16
mp-1178080,52
mp-1195283,144
mp-764985,38
mp-753770,24
mp-1227761,20
mp-1105304,20
mp-867961,41
mp-768027,48
mp-768276,42
mp-1202803,32
mp-765426,88
mp-1224887,16
mp-707290,126
mp-10311,6
mp-1180388,34
mp-1103187,12
mp-758897,84
mp-1175530,32
mp-1175753,32
mp-1067933,4
mp-753330,7
mp-8200,12
mp-1220857,4
mvc-5576,32
mp-1245196,100
mp-1247212,22
mp-675818,17
mp-1303958,14
mp-1198745,76
mvc-435,44
mp-760322,88
mp-561008,72
mp-698396,24
mp-1177349,44
mp-1096104,4
mp-3488,24
mp-1179218,14
mp-776146,56
mp-17868,30
mp-866184,8
mp-1014298,4
mp-1250240,84
mp-1192682,28
mp-1232091,28
mp-1018057,4
mp-755378,4
mp-758131,32
mp-1244962,80
mp-1100830,36
mp-1245228,100
mp-1214201,30
mp-1188518,20
mp-568282,104
mp-541867,40
mp-1193370,28
mp-504142,68
mp-1639205,22
mp-775984,36
mp-677680,70
mp-1173008,18
mp-1214019,14
mp-12449,20
mp-756577,20
mp-1246691,18
mp-1227146,20
mp-755155,12
mvc-9902,48
mp-756008,12
mp-1176833,48
mp-706456,100
mp-1093927,4
mp-1229214,52
mp-676074,18
mp-570728,12
mp-570453,22
mp-850135,15
mp-757744,28
mp-1227567,12
mp-1176130,32
mp-1198676,34
mp-1176833,48
mp-1198918,46
mp-675527,45
mp-773515,16
mp-556904,72
mp-1203037,64
mp-1296711,10
mp-865955,4
mp-759254,72
mp-1195464,64
mp-698710,40
mp-753690,22
mp-560254,48
mp-1222248,42
mp-1203656,80
mp-1209268,18
mp-776829,76
mp-1518827,20
mp-1029368,12
mp-1227554,24
mp-757815,28
mp-28159,20
mp-531021,56
mp-1183227,2
mp-1100926,40
mp-686369,61
mp-772116,28
mp-1227882,9
mp-1207412,5
mp-684034,172
mp-1213080,16
mp-1294540,24
mp-1178609,28
mp-1104614,16
mp-1213199,29
mp-1182474,12
mp-1209541,18
mp-761922,34
mp-1239195,28
mp-1220210,6
mp-625653,56
mp-541986,58
mp-1205305,10
mp-1192566,28
mp-1198341,116
mp-1227558,8
mp-1199792,76
mp-775849,40
mp-1075513,22
mp-1174986,24
mp-554212,7
mp-675278,27
mp-1079323,9
mvc-8595,30
mvc-904,44
mvc-3317,13
mp-771066,26
mp-777638,30
mp-1645322,20
mp-552575,9
mp-27500,16
mp-8778,112
mp-22416,20
mp-1097907,16
mp-753055,15
mp-32958,15
mp-775782,54
mp-755675,16
mp-1215315,12
mp-760832,63
mp-1175471,32
mvc-493,26
mp-1522333,40
mp-760948,28
mp-696961,36
mp-1087228,10
mp-1220788,23
mvc-6281,28
mp-774897,12
mp-756679,20
mp-1192858,21
mp-759182,66
mp-567626,6
mp-1079467,8
mp-1262087,26
mp-1298536,12
mp-778208,76
mp-1247008,28
mp-759990,48
mp-1223042,13
mp-752883,22
mp-1078823,9
mp-622268,18
mp-559589,15
mp-570286,4
mp-1173985,20
mp-1218990,10
mp-36053,20
mp-1299412,32
mp-625857,20
mp-1245412,36
mp-1193464,28
mp-1098281,15
mp-1247221,14
mp-766449,40
mp-754105,12
mp-1196213,40
mvc-9617,14
mp-1099931,144
mp-1099867,40
mp-849711,36
mp-560891,28
mp-1194796,34
mp-1226273,8
mp-676370,20
mp-1214715,38
mp-1199984,156
mp-1216547,12
mp-1227798,94
mp-770541,32
mp-37436,14
mvc-10605,40
mp-772661,28
mp-1519309,20
mp-1175170,48
mvc-4646,56
mp-754305,18
mp-1078613,8
mp-771269,26
mp-770489,40
mp-1184582,4
mp-1195918,92
mp-1215343,16
mvc-16026,25
mp-775927,20
mp-11508,10
mp-5419,4
mp-1220870,29
mp-1210140,24
mp-1518297,20
mp-776225,40
mp-1075399,22
mp-1206809,9
mp-18842,15
mp-758784,14
mp-1185596,150
mp-756868,14
mp-685456,57
mp-1190869,24
mp-3155,8
mp-756200,16
mp-558354,68
mp-756693,28
mp-761220,47
mp-770524,28
mp-866509,18
mp-675087,20
mp-770661,16
mp-556961,24
mp-972220,8
mp-773033,52
mp-755419,5
mp-30275,18
mp-776279,76
mp-756573,17
mp-1025690,9
mp-758137,40
mp-776979,76
mp-551131,16
mp-1094182,6
mp-1224625,56
mp-744458,72
mp-1176219,32
mp-781596,40
mp-531604,80
mp-757088,27
mp-32017,52
mp-1192067,22
mp-1020647,60
mp-1211979,56
mp-1186652,4
mp-1223968,4
mp-6763,24
mp-1101037,6
mp-759384,36
mp-685128,30
mp-1176202,32
mp-554894,50
mp-1226416,7
mp-1074008,28
mp-1247254,14
mp-1101513,72
mp-1211521,40
mp-753744,28
mp-541877,22
mp-1313101,32
mp-1218713,9
mp-1199415,72
mp-695325,30
mp-1216277,40
mp-761195,42
mp-626037,18
mp-28707,80
mvc-8333,40
