,cif_id,property
0,mp-8291,70660.6154272561
1,mp-13660,55982.63058628207
2,mp-555874,65422.1195274946
3,mp-7906,60086.854264300826
4,mp-8751,48892.16955760661
5,mp-10748,66148.65502329347
6,mp-2068,74177.45494293176
7,mp-7752,39641.1337596804
8,mp-998603,75682.4405858216
9,mp-14039,83026.40414454404
10,mp-23804,150408.87437929472
11,mp-11659,117668.97763225637
12,mp-14285,108942.21091155628
13,mp-4047,82973.09258795987
14,mp-13056,87947.6501573459
15,mp-28797,34082.689999573944
16,mp-28873,46625.427077859895
17,mp-24424,59649.13549242998
18,mp-35015,60974.38846869333
19,mp-487,92193.98689938289
20,mp-754326,36197.263724049975
21,mp-29364,106199.0077942781
22,mp-4651,92203.50246364596
23,mp-5072,41654.22839544958
24,mp-7914,36486.375173768465
25,mp-13903,70418.74535138403
26,mp-551835,78373.14472354544
27,mp-866141,34800.90872024029
28,mp-12535,76458.2856702747
29,mp-13031,16196.976650270242
30,mp-2201,15198.939308011775
31,mp-27546,49039.69566627123
32,mp-571461,53896.465474260585
33,mp-9262,78033.92666158253
34,mp-545544,87194.51791844558
35,mp-568544,38503.56899936348
36,mp-9919,47268.84833124113
37,mp-22951,46582.40604549206
38,mp-4763,70728.69454825917
39,mp-760417,53551.326783554214
40,mp-23004,79099.00834243034
41,mp-2964,44317.48113002274
42,mp-588,72098.49465062983
43,mp-989608,77387.27398285145
44,mp-10572,92052.574127293
45,mp-11713,120819.19507834673
46,mp-4124,50681.20024660239
47,mp-5518,62686.649951908716
48,mp-9244,77920.96358785401
49,mp-9382,35727.92763245826
50,mp-11123,92183.61153571526
51,mp-2979,163452.42386722768
52,mp-30004,52645.00031311786
53,mp-961648,18350.935456846848
54,mp-998612,75954.03100005933
55,mp-15704,101376.52833018491
56,mp-3970,78140.8154402625
57,mp-553281,87659.66560136461
58,mp-27549,60809.32207660368
59,mp-28554,31125.68609060088
60,mp-36111,25791.552057589528
61,mp-7041,35809.725864136155
62,mp-9321,55581.87918926756
63,mp-1009792,20226.198982042217
64,mp-23465,69784.2226339836
65,mp-27193,45248.816730238505
66,mp-569028,67976.35039501544
67,mp-8789,56831.74508981344
68,mp-8882,33999.91718617286
69,mp-1008786,15547.73928632804
70,mp-23956,83855.40022352974
71,mp-10044,21091.492581413186
72,mp-12779,30644.866293611354
73,mp-15556,75416.48623124194
74,mp-27255,81647.6702117287
75,mp-28243,64100.90872768545
76,mp-2853,18307.74743709142
77,mp-29138,62014.536132763846
78,mp-5479,54245.25226223025
79,mp-2064,15478.177634515749
80,mp-22313,44611.16581339412
81,mp-697044,137532.15774757392
82,mp-978852,39641.58782548053
83,mp-19799,67150.49194954605
84,mp-570256,53127.96230781302
85,mp-573697,15167.934890775721
86,mp-690785,148747.2261646188
87,mp-997041,75579.55330237282
88,mp-9636,71174.10718274815
89,mp-23295,15231.599931429433
90,mp-558781,117212.16468434151
91,mp-754117,111603.72723158807
92,mp-8279,39463.99621552449
93,mp-9385,46144.49507858115
94,mp-984761,29985.502332324424
95,mp-9856,92736.45468858641
96,mp-1968,43087.51859166165
97,mp-9317,97168.33032460776
98,mp-9361,31323.198545587467
99,mp-9567,39070.30621266004
100,mp-972937,80691.77797317918
101,mp-1009820,19874.848055181603
102,mp-23353,53435.807355721256
103,mp-3486,45919.6612051797
104,mp-4782,70287.7091070012
105,mp-961683,20589.56774965686
106,mp-999498,58298.85262472312
107,mp-14006,71506.42913809163
108,mp-9692,93352.58459385765
109,mp-989635,101323.95234750811
110,mp-12444,64415.26607631213
111,mp-22916,15359.780736583914
112,mp-28266,52723.66758365342
113,mp-7581,24439.177403361155
114,mp-867339,30257.76518650888
115,mp-14116,39264.07734939013
116,mp-23067,70918.44464806121
117,mp-29055,45787.422599790996
118,mp-753802,108789.52013423575
119,mp-15777,54320.333883820655
120,mp-23120,77246.75136417094
121,mp-23268,15247.111986271148
122,mp-27315,71424.7592601883
123,mp-684,48145.409996200775
124,mp-976876,50463.51828349502
125,mp-9844,145424.363995154
126,mp-1519,15471.753671427243
127,mp-2229,17207.347748106567
128,mp-570935,32223.83075879439
129,mp-989629,69184.14813131196
130,mp-22905,16216.877896809756
131,mp-252,18032.974433255466
132,mp-3159,56950.67965125746
133,mp-37216,67778.98696478138
134,mp-961685,23523.34446727826
135,mp-10219,53679.6472781681
136,mp-568032,54441.81612413888
137,mp-9063,91583.81444428537
138,mp-4636,37564.16015478513
139,mp-567744,91611.92151156861
140,mp-626724,107883.38378913728
141,mp-66,36049.54447289453
142,mp-546500,50115.37943454957
143,mp-567652,78014.95749047666
144,mp-753287,34164.39225741037
145,mp-8276,40281.19004816814
146,mp-5048,64163.38620052127
147,mp-7938,67010.34784210651
148,mp-7939,64064.0911542517
149,mp-315,23700.12265533448
150,mp-554412,134081.77873108018
151,mp-568560,15064.99589710655
152,mp-27985,52229.59798221659
153,mp-573763,90342.19233830551
154,mp-867168,30399.741460113702
155,mp-999549,35010.92032037952
156,mp-10155,107564.65200831828
157,mp-981,24592.871511302874
158,mp-10336,91889.25512817044
159,mp-11019,76027.9439201491
160,mp-1500,15527.85044926326
161,mp-2030,107136.00471838743
162,mp-29403,46117.05148477067
163,mp-31002,53061.823185751025
164,mp-581833,49428.70101826342
165,mp-28591,55259.04722646733
166,mp-1190,15766.297263115428
167,mp-13033,15878.300860356667
168,mp-697133,76117.25770878878
169,mp-23222,33319.371750258
170,mp-30459,23721.041877619602
171,mp-6059,74474.50618667844
172,mp-7089,46760.7354402556
173,mp-8407,51621.22543718929
174,mp-31212,58805.85952885377
175,mp-3419,104108.46526594406
176,mp-5431,89661.38727673562
177,mp-1009127,15179.151244515919
178,mp-23197,15027.561907181094
179,mp-2657,58053.27564196951
180,mp-27303,102245.86095536994
181,mp-2961,70878.56234064636
182,mp-5967,24519.202686658202
183,mp-753671,77205.38385591829
184,mp-8257,79670.59824321303
185,mp-3810,90739.34041462636
186,mp-4043,63537.84870019625
187,mp-546011,67013.18680124887
188,mp-974603,49171.6363006533
189,mp-13868,92253.8663911715
190,mp-634676,73524.1653468935
191,mp-975140,63866.22585023225
192,mp-22583,94742.38442620345
193,mp-22956,55278.61026180554
194,mp-755287,69358.66213138383
195,mp-8759,104879.40945201472
196,mp-9774,51342.010536759175
197,mp-10955,54111.848874659394
198,mp-181,93118.22287139086
199,mp-2672,68949.03758729037
200,mp-27839,70165.33099964794
201,mp-7375,46453.189732690946
202,mp-1415,15678.789530401295
203,mp-23023,49697.21190390333
204,mp-5784,113026.3653513408
205,mp-643264,186927.61533782442
206,mp-8891,124365.84934437921
207,mp-8963,54919.00191152542
208,mp-983565,70567.49765794998
209,mp-991652,63039.53052213449
210,mp-10615,24779.72077680174
211,mp-1522,54466.05604725338
212,mp-23302,15060.03011568384
213,mp-2646,39374.94882525275
214,mp-6450,99444.25055201582
215,mp-7643,61040.90628263419
216,mp-9731,45924.0904007127
217,mp-9794,92976.85127516004
218,mp-996943,74556.6398541762
219,mp-1009220,18975.700545607164
220,mp-11327,22718.38526127325
221,mp-2472,16549.324729672768
222,mp-2695,47131.10871323888
223,mp-552488,65440.23647389476
224,mp-961713,23522.668447054366
225,mp-2008,49671.59006248055
226,mp-23550,100877.5145277093
227,mp-3762,67853.45063247945
228,mp-5588,76157.33154261464
229,mp-830,20440.070625569806
230,mp-989563,70205.90444143799
231,mp-12927,112690.76892622674
232,mp-546864,78930.16347183388
233,mp-696804,73063.40339170823
234,mp-755478,86771.65633689088
235,mp-8799,46755.4118866997
236,mp-9437,24443.24969474894
237,mp-23405,68526.0526031888
238,mp-5078,101042.134782601
239,mp-1014244,37750.88505247949
240,mp-10694,35325.98452520193
241,mp-16764,61069.66998638896
242,mp-2576,91757.92405032428
243,mp-2894,23524.406781689446
244,mp-546125,122790.05595500539
245,mp-682,16414.382853706327
246,mp-7908,55780.1206629055
247,mp-961661,24466.496088738026
248,mp-989541,73314.23468081515
249,mp-22862,15592.169002175784
250,mp-23870,21429.79115313465
251,mp-15954,97353.371615779
252,mp-5046,76319.80014430746
253,mp-568273,31322.415680735863
254,mp-568662,23160.898591887806
255,mp-555166,63837.1689093462
256,mp-5853,143913.3878236436
257,mp-5955,70850.64482824647
258,mp-614603,15037.208511861601
259,mp-752446,57436.188119011305
260,mp-7849,65953.97190660852
261,mp-20329,71823.89237829308
262,mp-8289,64786.60535335046
263,mp-961684,24319.163349469567
264,mp-997089,36661.82852777789
265,mp-1143,108993.81538852201
266,mp-406,15323.340815756446
267,mp-7394,64362.94887866111
268,mp-997618,19673.113799838637
269,mp-15953,106684.60232977137
270,mp-8459,135874.32897998014
271,mp-989514,75283.45168193794
272,mp-989527,75780.99198428303
273,mp-23193,15366.358466844618
274,mp-6492,90446.03330630357
275,mp-1672,16179.899531179348
276,mp-27138,53899.99500392492
277,mp-754212,68151.10368351043
278,mp-28553,65491.299354776675
279,mp-675011,79775.72414615631
280,mp-1009813,16619.867597074055
281,mp-1340,79101.59411556796
282,mp-13541,124796.80053723727
283,mp-1367,24752.94133476211
284,mp-15157,56165.61266980405
285,mp-23024,47429.291402664916
286,mp-3098,81717.3707846528
287,mp-3666,96927.87862463211
288,mp-997002,72731.73948502852
289,mp-10408,56581.12713560258
290,mp-23859,65944.49143343388
291,mp-28075,85350.75473096945
292,mp-570844,126982.60627972346
293,mp-672,32185.741094474797
294,mp-867335,60996.84360671168
295,mp-1018100,32696.65748067085
296,mp-15724,30719.27546700328
297,mp-2133,36638.59153218677
298,mp-22936,33582.447447443315
299,mp-2490,17010.33297939654
300,mp-3642,75148.70848599056
301,mp-561710,80666.06583852468
302,mp-567666,78216.97070045015
303,mp-3589,79746.15583164075
304,mp-6980,32991.45831042946
305,mp-730,107046.07986685795
306,mp-862871,45837.919202364465
307,mp-14017,60609.98029662991
308,mp-20210,84834.76618456973
309,mp-23018,113741.69226488538
310,mp-27678,79081.11048403189
311,mp-556866,93009.1526428767
312,mp-8311,72703.61681856589
313,mp-9571,39201.55613303749
314,mp-978846,44983.36877981846
315,mp-3078,65520.855471699586
316,mp-989639,80179.17774439706
317,mp-1634,48882.6503447806
318,mp-27827,71157.29606707196
319,mp-697096,104862.43825435966
320,mp-2693,15235.204662774795
321,mp-567636,24745.2698029965
322,mp-569571,157438.95137837323
323,mp-573204,67557.84467990034
324,mp-961659,25011.634169649962
325,mp-1020059,127246.46437314241
326,mp-10418,69794.72795799516
327,mp-24341,142949.91858406627
328,mp-30315,72409.88550922702
329,mp-468,78146.14669553893
330,mp-5380,57853.37060314648
331,mp-7895,33916.727690018146
332,mp-8884,31037.945247150972
333,mp-2624,16353.728785322048
334,mp-3982,74775.8720335883
335,mp-545359,51144.217942662166
336,mp-553342,106729.15996544088
337,mp-7140,49098.914628334904
338,mp-23056,31955.364546437508
339,mp-569149,65700.77351158274
340,mp-8861,58019.122959013
341,mp-8880,35710.27421424636
342,mp-9517,76717.82131868297
343,mp-19765,53589.950390378224
344,mp-23703,25491.6278698145
345,mp-27791,186331.51450953336
346,mp-28302,54442.343733185604
347,mp-3519,107759.7152304268
348,mp-27422,68498.73633434866
349,mp-28145,71351.91879382773
350,mp-29151,72624.84483783167
351,mp-5339,45754.086811459965
352,mp-754596,59571.53747042123
353,mp-24066,108114.82616862628
354,mp-28627,54406.18860442316
355,mp-5127,113439.70213968854
356,mp-9778,62328.196396912135
357,mp-10250,42378.77385698859
358,mp-8127,132017.4274484998
359,mp-1784,15339.597103739543
360,mp-20782,63682.71139951123
361,mp-22261,61768.00805381086
362,mp-4156,112335.17734008716
363,mp-4511,42175.30987626481
364,mp-559695,59509.87775999477
365,mp-8267,85247.48226729092
366,mp-20790,51975.0848378874
367,mp-3163,44622.68910498683
368,mp-3395,93743.78871830896
369,mp-3834,44513.27152623746
370,mp-539,83618.09805956867
371,mp-13949,54138.56368068251
372,mp-9514,51263.7129882145
373,mp-9986,100763.97837210367
374,mp-7457,96943.1765003016
375,mp-924129,23885.138184570842
376,mp-10760,15843.684105520111
377,mp-570213,24025.427240962254
378,mp-10163,62982.17094013665
379,mp-13548,42994.53351369586
380,mp-23710,89019.73249687826
381,mp-2691,15502.020740697137
382,mp-3744,75793.40977902738
383,mp-567913,77021.70636397351
384,mp-8752,55328.36420893449
385,mp-9486,70917.62976934927
386,mp-9732,70137.95172903074
387,mp-989643,108291.13666542247
388,mp-10776,88899.84311490768
389,mp-13055,87966.02029981297
